metric,domain,series,case,mean,std,count
steps,EnergySmall_A,Transformer_general,case3,49.508000,18.508105,1000
steps,EnergySmall_A,Transformer_general,case4,49.316000,20.002453,1000
steps,EnergySmall_A,Transformer_general,case5,50.454000,18.358646,1000
steps,EnergySmall_A,Transformer_general,case6,52.167000,22.455893,1000
step_efficiency,Laptop,MiPN_expert,case1,0.043083,0.048108,1000
step_efficiency,Laptop,MiPN_expert,case2,0.028473,0.037100,1000
step_efficiency,Laptop,MiPN_expert,case3,0.032684,0.036585,1000
step_efficiency,Laptop,MiPN_expert,case4,0.030598,0.047550,1000
step_efficiency,Laptop,MiPN_expert,case5,0.047536,0.056464,1000
step_efficiency,Laptop,MiPN_expert,case6,0.040971,0.046100,1000
step_efficiency,Laptop,MiPN_general,case1,0.026399,0.032063,1000
step_efficiency,Laptop,MiPN_general,case2,0.018153,0.013924,1000
step_efficiency,Laptop,MiPN_general,case3,0.053151,0.057402,1000
step_efficiency,Laptop,MiPN_general,case4,0.041019,0.050199,1000
step_efficiency,Laptop,MiPN_general,case5,0.059803,0.055336,1000
step_efficiency,Laptop,MiPN_general,case6,0.073761,0.068069,1000
step_efficiency,Laptop,Transformer_expert,case1,0.048789,0.036941,1000
step_efficiency,Laptop,Transformer_expert,case2,0.046230,0.042777,1000
step_efficiency,Laptop,Transformer_expert,case3,0.047148,0.035019,1000
step_efficiency,Laptop,Transformer_expert,case4,0.075942,0.093630,1000
step_efficiency,Laptop,Transformer_expert,case5,0.086254,0.100455,1000
step_efficiency,Laptop,Transformer_expert,case6,0.083617,0.100583,1000
step_efficiency,Laptop,Transformer_general,case1,0.029025,0.038561,1000
step_efficiency,Laptop,Transformer_general,case2,0.028985,0.043091,1000
step_efficiency,Laptop,Transformer_general,case3,0.037235,0.049968,1000
step_efficiency,Laptop,Transformer_general,case4,0.042699,0.063282,1000
step_efficiency,Laptop,Transformer_general,case5,0.078293,0.099642,1000
step_efficiency,Laptop,Transformer_general,case6,0.012827,0.017248,1000
step_efficiency,ItexvsCypress,MiPN_expert,case1,0.017907,0.015403,1000
step_efficiency,ItexvsCypress,MiPN_expert,case2,0.014733,0.021072,1000
step_efficiency,ItexvsCypress,MiPN_expert,case3,0.020808,0.026031,1000
step_efficiency,ItexvsCypress,MiPN_expert,case4,0.015272,0.006421,1000
